Party;Base year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Last Inventory Year (2019);Change from base year to latest reported year
Slovenia;20.432,43;18.580,24;17.228,31;17.219,63;17.468,76;17.902,58;18.690,99;19.305,13;19.851,92;19.425,62;18.805,73;18.581,77;19.851,45;20.107,88;19.776,00;20.175,28;20.433,19;20.633,35;20.817,43;21.543,28;19.378,09;19.613,54;19.540,39;18.917,61;18.220,97;16.581,50;16.760,95;17.616,46;17.696,60;17.521,74;17.065,45;-16,48%
Spain;290.001,47;290.001,47;297.748,42;307.391,55;296.709,53;313.335,54;329.350,69;321.413,46;335.792,94;345.414,75;372.592,11;388.211,54;385.643,07;403.700,67;411.524,81;427.387,29;442.075,01;435.255,58;446.328,12;412.136,24;372.318,72;357.876,02;357.588,45;350.317,74;323.525,94;325.609,36;336.994,88;325.465,70;338.738,17;333.250,41;314.528,51;8,46%
Sweden;71.239,17;71.239,17;71.495,94;71.032,92;71.336,93;73.852,01;73.185,39;77.151,15;72.137,84;72.588,00;69.504,50;68.149,05;68.963,19;69.684,74;70.052,93;69.487,57;66.662,53;66.281,64;65.164,48;62.788,90;58.523,68;64.557,43;60.230,62;57.376,45;55.718,95;53.833,30;53.998,52;53.571,52;53.010,59;52.170,22;50.919,86;-28,52%
Switzerland;53.631,10;53.631,10;55.542,61;55.304,04;52.752,23;51.757,12;52.684,05;53.380,53;52.219,92;53.783,45;53.634,57;52.931,42;54.477,08;52.986,03;54.080,41;54.688,41;55.348,19;55.037,80;53.123,60;54.541,43;53.083,92;54.721,38;50.606,40;51.946,23;52.831,53;48.875,41;48.415,62;48.709,06;47.868,93;46.369,71;46.108,19;-14,03%
Turkey;219.572,21;219.572,21;226.956,77;233.185,06;240.521,14;234.496,43;247.993,71;267.614,11;278.866,03;280.419,45;277.840,88;298.954,23;280.503,23;286.227,35;305.290,15;314.843,15;337.344,65;358.571,10;391.664,26;387.853,21;395.843,89;399.143,06;428.120,39;447.582,08;439.694,38;458.953,88;473.335,82;498.886,78;524.980,91;522.476,63;506.080,42;130,48%
Ukraine;942.574,07;942.574,07;856.175,82;801.154,32;711.031,75;604.727,18;561.925,72;515.089,60;499.401,61;480.725,92;449.424,96;427.602,79;445.700,84;430.839,88;440.133,92;442.916,37;442.062,65;459.698,39;463.030,00;450.790,66;390.310,52;407.123,69;428.395,17;417.435,21;409.042,06;362.608,94;319.141,19;337.456,51;323.045,06;339.797,89;332.114,02;-64,77%
United Kingdom of Great Britain and Northern Ireland;794.869,45;794.869,45;804.232,67;783.560,56;764.121,94;754.886,83;748.483,64;770.309,28;744.640,42;742.696,69;712.883,46;711.972,54;714.597,26;694.790,61;701.372,64;697.609,49;690.112,27;683.132,37;671.465,50;650.476,11;594.416,68;608.732,30;563.659,98;580.418,64;566.545,83;526.556,30;509.050,72;484.146,19;473.389,98;466.666,98;453.101,46;-43,00%
United States of America;6.442.650,63;6.442.650,63;6.373.621,13;6.486.343,84;6.604.349,89;6.691.822,83;6.775.860,24;6.981.165,38;7.036.508,04;7.083.269,27;7.125.399,03;7.313.616,49;7.202.956,51;7.244.301,89;7.301.363,18;7.415.471,11;7.423.031,03;7.344.462,85;7.449.616,02;7.224.648,98;6.772.000,07;6.991.106,34;6.827.402,42;6.585.907,77;6.764.669,11;6.824.956,71;6.671.112,06;6.520.337,84;6.483.291,33;6.671.449,40;6.558.345,18;1,80%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Source: UNFCCC GHG Data Interface;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Note 3: – means ""No data available""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Report produced on Tuesday, 19 October 2021 10:15:15 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
